"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2024","72,210.1","69,358.0","72,573.6","69,110.5","78.29K","4.11%"
"07/04/2024","69,360.4","68,897.3","70,285.8","68,849.4","46.99K","0.68%"
"06/04/2024","68,890.6","67,830.5","69,632.0","67,467.2","41.48K","1.56%"
"05/04/2024","67,830.6","68,498.7","68,692.2","66,023.3","88.97K","-0.97%"
"04/04/2024","68,496.5","65,968.4","69,238.8","65,096.3","100.30K","3.84%"
"03/04/2024","65,963.0","65,443.6","66,844.8","64,559.0","88.46K","0.80%"
"02/04/2024","65,439.2","69,662.7","69,673.0","64,628.4","152.87K","-6.07%"
"01/04/2024","69,664.4","71,329.3","71,329.3","68,175.9","94.05K","-2.34%"
"31/03/2024","71,332.0","69,608.5","71,367.5","69,576.6","42.45K","2.47%"
"30/03/2024","69,611.5","69,872.3","70,321.2","69,564.9","29.87K","-0.37%"
"29/03/2024","69,871.7","70,766.7","70,907.0","69,090.9","58.99K","-1.26%"
"28/03/2024","70,762.1","69,449.4","71,542.5","68,956.9","72.49K","1.90%"
"27/03/2024","69,442.4","69,999.2","71,670.8","68,428.6","112.88K","-0.80%"
"26/03/2024","69,999.3","69,896.3","71,490.7","69,366.4","90.98K","0.15%"
"25/03/2024","69,892.0","67,216.4","71,118.8","66,395.0","124.72K","3.99%"
"24/03/2024","67,211.9","64,036.5","67,587.8","63,812.9","65.59K","4.96%"
"23/03/2024","64,037.8","63,785.6","65,972.4","63,074.9","35.11K","0.40%"
"22/03/2024","63,785.5","65,501.5","66,633.3","62,328.3","72.43K","-2.62%"
"21/03/2024","65,503.8","67,860.0","68,161.7","64,616.1","75.26K","-3.46%"
"20/03/2024","67,854.0","62,046.8","68,029.5","60,850.9","133.53K","9.35%"
"19/03/2024","62,050.0","67,594.1","68,099.6","61,560.6","148.08K","-8.20%"
"18/03/2024","67,594.1","68,389.7","68,920.1","66,601.4","78.07K","-1.17%"
"17/03/2024","68,391.2","65,314.2","68,857.7","64,605.5","66.07K","4.71%"
"16/03/2024","65,314.2","69,456.5","70,037.0","64,971.0","75.82K","-5.97%"
"15/03/2024","69,463.7","71,387.1","72,398.1","65,765.6","148.59K","-2.69%"
"14/03/2024","71,387.5","73,066.7","73,740.9","68,717.2","109.43K","-2.30%"
"13/03/2024","73,066.3","71,461.9","73,623.5","71,338.4","77.18K","2.23%"
"12/03/2024","71,470.2","72,099.1","72,916.7","68,845.6","105.09K","-0.87%"
"11/03/2024","72,099.1","68,964.7","72,771.5","67,452.8","114.72K","4.54%"
"10/03/2024","68,964.8","68,360.7","69,905.3","68,165.0","53.49K","0.88%"
"09/03/2024","68,366.5","68,178.5","68,576.9","67,923.9","30.71K","0.29%"
"08/03/2024","68,172.0","66,854.4","69,904.0","66,170.7","112.67K","1.97%"
